mensaje_limpio,incidente,area,coincidencias
Parece que hubo pistola afuera de Juan Valdez.,robo,seguridad,1
"Alguien avisó de ruido en cerca de Cinemark, estaba un guardia.",ruido excesivo,administracion,1
Se observa ruido a la altura de cerca de Cinemark.,ruido excesivo,administracion,1
como que comentó que vio violencia fisica por fuera de Pycca.,robo,seguridad,2
En junto a Tía un cliente reporta recuperar cerca de Isla de helados.,objeto perdido,seguridad,1
Hubo amenazas hace poco en zona coworking.,robo,seguridad,2
"Alguien avisó de parpadeando en fuera de Pycca, estaba está feo eso.",iluminacion danada,mantenimiento,1
Se genera alerta por traba en el sector de Pícaro Resto Grill.,ascensor en falla,mantenimiento,1
Un visitante dice que encontró stand cerca de Starbucks.,montaje de evento,mercadeo,1
Un guardia indica que hubo fuga en área bancaria.,fuga de agua,mantenimiento,1
Varias personas mencionan mal servicio afuera de Cinemark.,queja de cliente,recepcion,1
Un cliente molesto dice que hubo ayuda medica cerca de Pycca.,emergencia medica,sso,1
Notifican desde zona de carga que ocurrió retirar.,retiro material publicitario,mercadeo,1
Se detecta algo relacionado con stand en junto a las escaleras eléctricas.,accidente en escalera,sso,2
Notifican desde pasillo central que ocurrió desmontar.,retiro material publicitario,mercadeo,1
Parece que hubo carterazo afuera de Isla de helados.,robo,seguridad,1
Visitantes informan accidente cerca de junto a Tía.,caida,sso,1
Se observa caida a la altura de cerca de Cinemark.,caida,sso,1
Varias personas mencionan mal parqueado afuera de Sweet & Coffee.,vehiculo mal estacionado,seguridad,1
Visitantes informan estacionado cerca de planta baja.,vehiculo mal estacionado,seguridad,1
Se observa robaron a la altura de área bancaria.,robo,seguridad,1
Mensaje recibido: molestia en zona de parqueaderos.,queja de cliente,recepcion,1
"Alguien avisó de observando mucho en cerca de Cinemark, estaba durísimo.",persona sospechosa,seguridad,1
Se detecta algo relacionado con ascensor en fuera de Pycca.,ascensor en falla,mantenimiento,1
Parece que hubo objeto perdido afuera de Movistar.,objeto perdido,seguridad,3
Personal de limpieza vio resbale en patio de comidas.,caida,sso,1
Un visitante dice que encontró cables sueltos cerca de Sweet & Coffee.,cableado suelto,mantenimiento,2
"Alguien avisó de lastimado en entrada principal, estaba full gente.",caida,sso,1
Hubo se llevaron hace poco en piso 1.,robo,seguridad,1
Mensaje recibido: anuncio en pasillo central.,publicidad,mercadeo,1
Un visitante dice que encontró desmontar cerca de Claro.,retiro material publicitario,mercadeo,1
Personal de limpieza vio inundacion en segundo piso.,fuga de agua,mantenimiento,1
Se observa atencion medica a la altura de área infantil.,emergencia medica,sso,1
Se observa accidente escalera a la altura de zona de carga.,caida,sso,3
"Alguien avisó de remover en planta baja, estaba a cada rato.",retiro material publicitario,mercadeo,1
Parece que hubo tropiezo escalera afuera de Cinemark.,accidente en escalera,sso,2
Parece que hubo discutiendo afuera de Pycca.,pelea,seguridad,1
Personal de limpieza vio promocion en pasillo central.,publicidad,mercadeo,2
"Alguien avisó de inconsciente en frente a Mega Kywi, estaba parece que.",inconsciencia,sso,1
Varias personas mencionan caida afuera de Sweet & Coffee.,caida,sso,1
como que comentó que vio perdi documento por fuera de Pycca.,objeto perdido,seguridad,3
full gente comentó que vio mojado por piso 1.,fuga de agua,mantenimiento,1
"Reportan golpe en segundo piso, estaba pasando entre como que.",caida,sso,1
Notifican desde zona de carga que ocurrió accidente escalera.,caida,sso,3
Un guardia indica que hubo vigilado en área infantil.,persona sospechosa,seguridad,1
Visitantes informan amenazas cerca de segundo piso.,robo,seguridad,2
Por radios informan traba en piso 1.,ascensor en falla,mantenimiento,1
Mensaje recibido: elevador en segundo piso.,ascensor en falla,mantenimiento,1
"Alguien avisó de golpes en frente a Mega Kywi, estaba durísimo.",pelea,seguridad,2
Se observa recuperar a la altura de zona de parqueaderos.,objeto perdido,seguridad,1
"Reportan urgencia en fuera de Pycca, estaba pasando entre un guardia.",emergencia medica,sso,1
Personal de limpieza vio insatisfecho en área infantil.,queja de cliente,recepcion,1
Por radios informan me robaron en zona de carga.,robo,seguridad,2
Un colaborador menciona haber visto no encuentro en patio de comidas.,objeto perdido,seguridad,1
Personal de limpieza vio ayuda medica en área infantil.,emergencia medica,sso,1
Mensaje recibido: agresion en área infantil.,pelea,seguridad,1
Mensaje recibido: tropece en entrada principal.,caida,sso,1
Un visitante dice que encontró se cayo escalera cerca de Isla de helados.,accidente en escalera,sso,2
Guardias revisan caso de actitud sospechosa fuera de De Prati.,persona sospechosa,seguridad,1
Un colaborador menciona haber visto forcejeo en cerca de Cinemark.,pelea,seguridad,1
como que comentó que vio se me cayo por piso 1.,objeto perdido,seguridad,1
Se genera alerta por resbale en el sector de Tía.,caida,sso,1
Notifican desde terraza que ocurrió se cayo escalera.,accidente en escalera,sso,2
Visitantes informan flyer cerca de segundo piso.,publicidad,mercadeo,1
En zona coworking un cliente reporta promocion cerca de Tía.,publicidad,mercadeo,2
Parece que hubo bulla afuera de Adidas Store.,ruido excesivo,administracion,1
Se genera alerta por promocion en el sector de Pícaro Resto Grill.,publicidad,mercadeo,2
"Alguien avisó de insatisfecho en zona de parqueaderos, estaba como que.",queja de cliente,recepcion,1
Mensaje recibido: papeles en entrada principal.,perdida de documentos,administracion,1
Por radios informan me robaron en zona de carga.,robo,seguridad,2
Un guardia indica que hubo vehiculo en planta baja.,vehiculo mal estacionado,seguridad,1
En frente a Mega Kywi un cliente reporta auxilio cerca de Claro.,inconsciencia,sso,1
Personal de limpieza vio lastimado en patio de comidas.,caida,sso,1
Por radios informan luz en zona de parqueaderos.,iluminacion danada,mantenimiento,1
Varias personas mencionan escalera afuera de De Prati.,accidente en escalera,sso,1
Parece que hubo tropiezo escalera afuera de De Prati.,accidente en escalera,sso,2
Parece que hubo rina afuera de Coral Hipermercados.,pelea,seguridad,1
Hubo mojado hace poco en planta baja.,fuga de agua,mantenimiento,1
En zona de carga un cliente reporta electricidad cerca de Marathon Sports.,cableado suelto,mantenimiento,1
Guardias revisan caso de retirar fuera de Doña Menestra.,retiro material publicitario,mercadeo,1
"Alguien avisó de perdido en piso 1, estaba a cada rato.",objeto perdido,seguridad,2
Mensaje recibido: robado en zona de carga.,robo,seguridad,1
Visitantes informan conflicto cerca de zona coworking.,pelea,seguridad,1
En fuera de Pycca un cliente reporta gritando cerca de Sweet & Coffee.,pelea,seguridad,1
Notifican desde junto a Tía que ocurrió retirar.,retiro material publicitario,mercadeo,1
Un visitante dice que encontró carpeta cerca de Valentina.,perdida de documentos,administracion,1
Un cliente molesto dice que hubo no funciona ascensor cerca de KFC.,ascensor en falla,mantenimiento,2
Personal de limpieza vio goteo en zona coworking.,fuga de agua,mantenimiento,1
Un guardia indica que hubo objeto perdido en entrada principal.,objeto perdido,seguridad,3
"Reportan perdi documento en área infantil, estaba pasando entre justito.",objeto perdido,seguridad,3
Guardias revisan caso de luz fuera de Coral Hipermercados.,iluminacion danada,mantenimiento,1
Por radios informan emergencia en cerca de Cinemark.,inconsciencia,sso,1
"Alguien avisó de desmontar en planta baja, estaba como que.",retiro material publicitario,mercadeo,1
"Reportan fractura en terraza, estaba pasando entre según dicen.",emergencia medica,sso,1
Se detecta algo relacionado con robado en patio de comidas.,robo,seguridad,1
"Reportan golpes en área infantil, estaba pasando entre medio raro.",pelea,seguridad,3
Mensaje recibido: luz en zona de carga.,iluminacion danada,mantenimiento,1
Un cliente molesto dice que hubo tuberia rota cerca de De Prati.,fuga de agua,mantenimiento,1
Mensaje recibido: expuesto en cerca de Cinemark.,cableado suelto,mantenimiento,1
Hubo resbalon hace poco en junto a Tía.,caida,sso,1
Mensaje recibido: accidente escalera en zona coworking.,caida,sso,3
"Reportan pelea en pasillo central, estaba pasando entre parece que.",pelea,seguridad,1
Notifican desde patio de comidas que ocurrió mal servicio.,queja de cliente,recepcion,1
Visitantes informan obstruyendo cerca de patio de comidas.,vehiculo mal estacionado,seguridad,1
Hubo tropece hace poco en baños del segundo piso.,caida,sso,1
Visitantes informan me cai cerca de área infantil.,caida,sso,1
Varias personas mencionan vehiculo afuera de Doña Menestra.,vehiculo mal estacionado,seguridad,1
Visitantes informan montaje cerca de planta baja.,montaje de evento,mercadeo,1
"Alguien avisó de remover en baños del segundo piso, estaba una señora.",retiro material publicitario,mercadeo,1
En junto a Tía un cliente reporta promo cerca de Coral Hipermercados.,publicidad,mercadeo,1
Mensaje recibido: archivo en área bancaria.,perdida de documentos,administracion,1
Se genera alerta por quitar publicidad en el sector de Mi Comisariato.,publicidad,mercadeo,2
Personal de limpieza vio cables sueltos en planta baja.,cableado suelto,mantenimiento,2
Varias personas mencionan bloqueando afuera de Pícaro Resto Grill.,vehiculo mal estacionado,seguridad,1
Hubo quejar hace poco en área infantil.,queja de cliente,recepcion,2
Guardias revisan caso de archivo fuera de Sweet & Coffee.,perdida de documentos,administracion,1
En entrada principal un cliente reporta foco cerca de Sweet & Coffee.,iluminacion danada,mantenimiento,1
full gente comentó que vio cable por piso 1.,cableado suelto,mantenimiento,1
Notifican desde área bancaria que ocurrió no encuentro.,objeto perdido,seguridad,1
Se detecta algo relacionado con evento en área bancaria.,montaje de evento,mercadeo,1
Se genera alerta por resbale en el sector de Tía.,caida,sso,1
"Reportan sospechoso en entrada principal, estaba pasando entre durísimo.",persona sospechosa,seguridad,1
"Reportan stand en fuera de Pycca, estaba pasando entre un man.",montaje de evento,mercadeo,1
Un guardia indica que hubo mal servicio en patio de comidas.,queja de cliente,recepcion,1
Por radios informan foco en pasillo central.,iluminacion danada,mantenimiento,1
Se observa auxilio a la altura de baños del segundo piso.,inconsciencia,sso,1
Un colaborador menciona haber visto publicidad en pasillo central.,publicidad,mercadeo,1
Hubo atencion medica hace poco en frente a Mega Kywi.,emergencia medica,sso,1
Se genera alerta por anuncio en el sector de Mi Comisariato.,publicidad,mercadeo,1
Parece que hubo me cai afuera de Mega Kywi.,caida,sso,1
Un visitante dice que encontró foco cerca de Mega Kywi.,iluminacion danada,mantenimiento,1
Guardias revisan caso de tuberia rota fuera de Tía.,fuga de agua,mantenimiento,1
Varias personas mencionan escenario afuera de Cinemark.,montaje de evento,mercadeo,1
Se genera alerta por estacionado en el sector de Coral Hipermercados.,vehiculo mal estacionado,seguridad,1
Personal de limpieza vio electricidad en cerca de Cinemark.,cableado suelto,mantenimiento,1
Personal de limpieza vio perdi en zona de carga.,objeto perdido,seguridad,1
Un cliente molesto dice que hubo observando mucho cerca de Claro.,persona sospechosa,seguridad,1
Guardias revisan caso de elevador fuera de McDonald's.,ascensor en falla,mantenimiento,1
Mensaje recibido: cable en pasillo central.,cableado suelto,mantenimiento,1
Guardias revisan caso de traba fuera de Sweet & Coffee.,ascensor en falla,mantenimiento,1
Personal de limpieza vio parpadeando en baños del segundo piso.,iluminacion danada,mantenimiento,1
Varias personas mencionan expuesto afuera de Pícaro Resto Grill.,cableado suelto,mantenimiento,1
Parece que hubo caida afuera de Claro.,caida,sso,1
Mensaje recibido: archivo en entrada principal.,perdida de documentos,administracion,1
Se detecta algo relacionado con desmontar en piso 1.,retiro material publicitario,mercadeo,1
Notifican desde fuera de Pycca que ocurrió traba.,ascensor en falla,mantenimiento,1
parece que comentó que vio decoracion por segundo piso.,montaje de evento,mercadeo,1
Un colaborador menciona haber visto perdi en área bancaria.,objeto perdido,seguridad,1
Un colaborador menciona haber visto fractura en zona de carga.,emergencia medica,sso,1
Se detecta algo relacionado con pistola en fuera de Pycca.,robo,seguridad,1
Personal de limpieza vio montaje en cerca de Cinemark.,montaje de evento,mercadeo,1
"Reportan se me cayo en fuera de Pycca, estaba pasando entre un chico.",objeto perdido,seguridad,1
"Alguien avisó de promo en junto a las escaleras eléctricas, estaba durísimo.",accidente en escalera,sso,2
Por radios informan reclamo en cerca de Cinemark.,queja de cliente,recepcion,1
Un guardia indica que hubo alto volumen en entrada principal.,ruido excesivo,administracion,1
Se observa tropiezo escalera a la altura de patio de comidas.,accidente en escalera,sso,2
Se genera alerta por accidente escalera en el sector de Adidas Store.,caida,sso,3
parece que comentó que vio carpeta por patio de comidas.,perdida de documentos,administracion,1
Hubo cable hace poco en entrada principal.,cableado suelto,mantenimiento,1
Guardias revisan caso de electricidad fuera de KFC.,cableado suelto,mantenimiento,1
Varias personas mencionan remover afuera de Cinemark.,retiro material publicitario,mercadeo,1
Personal de limpieza vio desmayado en piso 1.,inconsciencia,sso,1
Guardias revisan caso de herido fuera de Isla de helados.,emergencia medica,sso,1
Se observa retirar a la altura de segundo piso.,retiro material publicitario,mercadeo,1
Un visitante dice que encontró se me cayo cerca de Claro.,objeto perdido,seguridad,1
Varias personas mencionan quitar publicidad afuera de Cinemark.,publicidad,mercadeo,2
durísimo comentó que vio expuesto por terraza.,cableado suelto,mantenimiento,1
